Country Name,Country Code,"GDP per capita, PPP (constant 2011 international $)",CO2 emissions (kt),CO2 emissions (metric tons per capita),"Population, total"
Sierra Leone,SLE,1040.21209,286.026,0.072833805,3927105
Singapore,SGP,44734.55556,47109.949,13.36642049,3524500
Sint Maarten (Dutch part),SXM,..,..,..,..
Slovak Republic,SVK,13133.18006,42152.165,7.861278042,5361999
Slovenia,SVN,18383.57067,14403.976,7.238644496,1989872
Solomon Islands,SLB,2263.290416,161.348,0.449142068,359236
Somalia,SOM,..,11.001,0.001733413,6346440
South Africa,ZAF,9331.433707,353458.463,9.035236784,39120000
South Sudan,SSD,..,..,..,5434266
Spain,ESP,25591.02753,241732.307,6.13736011,39387017
Sri Lanka,LKA,4074.887627,5797.527,0.319669552,18136000
St. Kitts and Nevis,KNA,16362.41933,95.342,2.223046073,42888
St. Lucia,LCA,8853.526683,311.695,2.119797334,147040
St. Martin (French part),MAF,..,..,..,32712
St. Vincent and the Grenadines,VCT,6037.910844,132.012,1.220954107,108122
Sudan,SDN,2052.215695,4602.085,0.153587199,24529722
Suriname,SUR,9848.346739,2181.865,5.006849849,435776
Swaziland,SWZ,5592.239808,454.708,0.471968845,963428
Sweden,SWE,31162.03744,50743.946,5.748759111,8826939
Switzerland,CHE,44462.75041,39233.233,5.572358635,7040687
Syrian Arab Republic,SYR,..,43996.666,3.068484416,14338240
Tajikistan,TJK,1265.623171,2449.556,0.423481371,5784330
Tanzania,TZA,957.9557214,3553.323,0.118664412,29944302
Thailand,THA,9238.628211,167585.567,2.841206051,58983954
Timor-Leste,TMP,..,..,..,866700
Togo,TGO,1197.945421,953.42,0.222527872,4284497
Tonga,TON,4270.812057,110.01,1.146797598,95928
Trinidad and Tobago,TTO,14046.07094,20967.906,16.70748151,1255001
Tunisia,TUN,6054.804121,15735.097,1.756639352,8957500
Turkey,TUR,11588.16824,171971.299,2.938559151,58522320
Turkmenistan,TKM,4622.871374,34620.147,8.266491006,4188010
Turks and Caicos Islands,TCA,..,11.001,0.717425329,15334
Tuvalu,TUV,2685.62537,..,..,9227
Uganda,UGA,771.7181682,993.757,0.047913318,20740726
Ukraine,UKR,5080.741674,445943.87,8.657036837,51512299
United Arab Emirates,ARE,107273.8085,70641.088,30.10737649,2346305
United Kingdom,GBR,28378.40784,555667.844,9.577337711,58019030
United States,USA,39441.93668,5156168.7,19.36385544,266278000
Uruguay,URY,11250.9017,4591.084,1.423864349,3224383
Uzbekistan,UZB,2221.719488,100912.173,4.428886241,22785000
Vanuatu,VUT,2609.824766,66.006,0.39234171,168236
"Venezuela, RB",VEN,15390.51896,133236.778,6.030957339,22092144
Vietnam,VNM,2041.756291,29090.311,0.404057351,71995500
Virgin Islands (U.S.),VIR,..,..,..,107817
West Bank and Gaza,WBG,2788.471831,..,..,2474666
"Yemen, Rep.",YEM,3644.456472,11250.356,0.749114757,15018201
Zambia,ZMB,2106.211402,2170.864,0.245535687,8841338
Zimbabwe,ZWE,2415.554028,15130.042,1.299902813,11639364
